Ruund	French
En kiwantondanyap am, am yam nakutondanya en ni kukwinkishany mudimu, chakwel uyany, wikalany mudi mutond ukusonga mabuj. Mabuj min makudandamen chikupu. Chad Tatuku ukez kukwinkishany yom yawonsu yiukeza kwitany mu dijin diam.	Ce n'est pas vous qui m'avez choisi, c'est moi qui vous ai choisis; je vous ai chargés d'aller, de porter des fruits et des fruits durables. Alors, le Père vous donnera tout ce que vous lui demanderez en mon nom.
Chinech chawiy chijil chinikulejinanya anch, katijanany muntu ni mukwau.	Ce que je vous commande, donc, c'est de vous aimer les uns les autres.»
In mangand akez kuyikis in kwilej a Yesu	Le monde hait Jésus et les siens
“Anch in mangand akukisany, chifanyidin kwijik anch, awiy asambela kwinkis am.	«Si le monde a de la haine pour vous, sachez qu'il m'a haï avant vous.
Anch en wadiany mu umwing nau in mangand, ing, awiy akukukatany en mudi anamakwau. Pakwez nakutondanya en kukudioshany mukach mwa in mangand, chawiy kiudianyap kand nau mu umwing. Wawiy mulong ukukisidilanyau.	Si vous apparteniez au monde, le monde vous aimerait parce que vous seriez à lui. Mais je vous ai choisis et pris hors du monde, et vous n'appartenez plus au monde: c'est pourquoi le monde vous hait.
Vurikany, nakulejanya kal anch: ‘Kwikil muswik umupandakena nsalejend kujimb.” Anch awiy anzengola am, akez kukuzengolany kand niyen. Anch awiy aziyila ku malejan mam, akez kuziyil kand ku malejan men.	Rappelez-vous ce que je vous ai dit: “Un serviteur n'est pas plus grand que son maître.” Si les gens m'ont persécuté, ils vous persécuteront aussi; s'ils ont obéi à mon enseignement, ils obéiront aussi au vôtre.
Pakwez akez kukusalany yom yiney yawonsu mulong en udiany amam. Akukusalany mwamu mulong kamwijap wantuma am.	Mais ils vous feront tout cela à cause de moi, parce qu'ils ne connaissent pas celui qui m'a envoyé.
Anch am kinezap ni kulond nau, ing kakwetap kwau yitil. Pakwez katat kakutwishap kwiyep anch: ‘Kitukwetap yitil.’.	Ils ne seraient pas coupables de péché si je n'étais pas venu et si je ne leur avais pas parlé. Mais maintenant, ils n'ont pas d'excuse pour leur péché.
Muntu mwawonsu winkisina am, umukisin kand Tatukwam.	Celui qui a de la haine pour moi, en a aussi pour mon Père.
Anch am kinasalap yom mukach mwau yakad kal kusalangap kudi muntu mukwau, ing kakwetap kwau chitil. Pakwez katat awiy amen kal yisalijok yam, chad ankis kal am ni Tatukwam.	Ils n'auraient pas été coupables de péché si je n'avais pas fait parmi eux des œuvres que personne d'autre n'a jamais faites. Or, maintenant, ils ont vu mes œuvres et ils me haïssent, ainsi que mon Père.
Pakwez yom yiney yamekana mulong wa kuwanyish yom yafundau mu Yijil yau anch: ‘Awiy ankisa am wakad mulong.’	Mais cela arrive pour que se réalise la parole écrite dans leur loi: “Ils m'ont haï sans raison.”
“Mwin Kukwash ukwez, ndiy kamu Mwiku Utumbila umekeshina uyakin, ukudiokal kudi Tatuku. Am_ nikez kukutuminanyay, ndiy udiokila kudi Tatukwam, chawiy ndiy ukez kukulejany yamam.	«Celui qui doit vous venir en aide viendra: c'est l'Esprit de vérité qui vient du Père. Je vous l'enverrai de la part du Père et il me rendra témoignage.
Niyen ukez kulondany kand yamam, mulong en wadingany ni yamam kudiokal kunasambishina kulejan.	Et vous aussi, vous me rendrez témoignage, parce que vous avez été avec moi depuis le commencement.
“Nakulejany kal yom yiney chakwel kangal washadishany ritiy ren.	«Je vous ai dit cela pour que vous n'abandonniez pas la foi.
Akez kukwopatany mu yikumbu ya kulembil. Chakin, chisu chikeza kwez antu akez kukujipany, chad pakusalau mwamu, akutongijok anch, akat kumusadil Nzamb.	On vous exclura des synagogues. Et même, le moment viendra où ceux qui vous tueront s'imagineront servir Dieu de cette façon.
Antu akez kukusalany yom yiney mulong kamwijap Tatukwam ap am.	Ils agiront ainsi parce qu'ils n'ont connu ni le Père, ni moi.
Pakwez nakulejany yom yiney chakwel chisu anch chashik chikusalau yom yiney, en ukez kuvurikany yom yinakulejanya.	Mais je vous ai dit cela pour que, lorsque ce moment sera venu, vous vous rappeliez que je vous l'avais dit.»
Mudimu wa Mwiku Utumbila	L'œuvre du Saint-Esprit
“Am kinakulejanyap yom yiney pinasambisha kukulejany, mulong nading ni yenen.	«Je ne vous ai pas dit cela dès le commencement, car j'étais avec vous.
Chawiy katat am niyil kwam kudi Tatukwam wantuma, pakwez kwikil umwing wenen wangipulap anch: ‘Ov, uyil kwisu?’	Maintenant, je m'en vais auprès de celui qui m'a envoyé et aucun d'entre vous ne me demande: “Où vas-tu?”
Katat wovilany ushon nakash mulong nakulejany kal yom yiney.	Mais la tristesse a rempli votre cœur parce que je vous ai parlé ainsi.
Pakwez nakulejany, chidi chom chiwamp kudi en anch am naya, mulong anch am kiniyilap, Mwin Kukwash kakwezap kudi en. Pakwez anch am naya, chad nikez kukutuminanyay.	Cependant, je vous dis la vérité: il est préférable pour vous que je parte; en effet, si je ne pars pas, celui qui doit vous venir en aide ne viendra pas à vous. Mais si je pars, je vous l'enverrai.
Pakwezay ndiy, ukez kuyijingunin antu a pa mangand kurumbuk kwau, mulong kijap kurumburik kwa yitil, kijap kurumburik kwa kutentam, ap kwa dirumburish dia Nzamb.	Et quand il viendra, il prouvera aux gens de ce monde leur erreur au sujet du péché, de la justice et du jugement de Dieu.
Awiy akat kurumbuk mutapu ukat kurumburilau mulong wa yitil, chidi mulong awiy kangitiyijinap am.	Quant au péché, il réside en ceci: ils ne croient pas en moi;
Awiy akat kurumbuk mutapu ukat kurumburilau mulong wa kutentam, chidi mulong am niyil kudi Tatuku, chad en kiukez kwinmananganyap kand.	quant à la justice, elle se révèle en ceci: je vais auprès du Père et vous ne me verrez plus;
Awiy akat kurumbuk kand mutapu ukat kurumburishau, mulong Nzamb wamurumburishin kal mwin kutakel wa mangand minam, ndiy kamu Sakudimban.	quant au jugement, il consiste en ceci: le dominateur de ce monde est déjà jugé.
“Am nikwet yom yikwau yivud ya kukulejany, pakwez katat nikulik, chamwamu yikukuvudilany.	«J'ai encore beaucoup de choses à vous dire, mais vous ne pourriez pas les supporter maintenant.
Pakushikay, Mwiku Utumbila umekeshina uyakin, ndiy ukukulejany uyakin wawonsu udiokila kudi Nzamb. Ndiy kakez kulondap ku ulabu wend amwinend, pakwez ukez kulond yom yawonsu yikuteshay kudi Tatuku, ukez kulond kand yom yikweza kurutu.	Quand viendra l'Esprit de vérité, il vous conduira dans toute la vérité. Il ne parlera pas en son propre nom, mais il dira tout ce qu'il aura entendu et vous annoncera ce qui doit arriver.
Ndiy ukez kutambul mazu mam, chad wakulejanyam, mwamu mukez kwintumbishay am.	Il révélera ma gloire, car il recevra de ce qui est à moi et vous l'annoncera.
Yom yawonsu yikwetay Tatuku yidi yamam. Chawiy chinilondidila anch: ‘Mwiku Utumbila ukez kutesh yom kudi am, chad wakulejany en.’	Tout ce que le Père possède est aussi à moi. C'est pourquoi j'ai dit que l'Esprit recevra de ce qui est à moi et vous l'annoncera.»
Ushon ukusambelaku, pakwez musangar ukwez	La tristesse se changera en joie
“Mu chisu chikemp kiukez kwinmananyap, pakwez mu chisu chikwau chikemp ukez kwinmanany.”	«D'ici peu vous ne me verrez plus, puis peu de temps après vous me reverrez.»
In kwilejend amwing ipulijana anch: “Ov, chinech charumburik nchik? Ndiy utulejin anch: ‘Mu chisu chikemp ‘kitukumumanap, pakwez mu chisu chikwau chikemp tukez kumuman.’ Ndiy ulondil kand anch: ‘Chidi mulong niyil kudi Tatukwam.’	Quelques-uns de ses disciples se dirent alors entre eux: «Qu'est-ce que cela signifie? Il nous déclare: “D'ici peu vous ne me verrez plus, puis peu de temps après vous me reverrez”, et aussi: “C'est parce que je m'en vais auprès du Père”.
Ov, chisu chikemp chirumburikin nchik? Etu kitwijap yom yilondilay.”	Que signifie ce “peu de temps” dont il parle? Nous ne comprenons pas ce qu'il veut dire.»
Yesu wijika anch, awiy asotil kumwipol, chad wayileja anch: “Nalondang anch: ‘Mu chisu chikemp kiukez kwinmananyap, pakwez mu chisu chikwau chikemp ukez kwinmanany.’ Ov, chawiy chom chiwipulijadinanya en?	Jésus se rendit compte qu'ils désiraient l'interroger. Il leur dit donc: «Je vous ai déclaré: “D'ici peu vous ne me verrez plus, puis peu de temps après vous me reverrez.” Est-ce à ce sujet que vous vous posez des questions entre vous?
Nakulejany chakin, en ukez kudilany ni kushikok, pakwez in mangand akez kwov musangar. En ukez kwovany ushon, pakwez ushon wen ukez kukarumuk musangar.	Oui, je vous le déclare, c'est la vérité: vous pleurerez et vous vous lamenterez, tandis que le monde se réjouira; vous serez dans la peine, mais votre peine se changera en joie.
Mband anch udi pa ruching:ra “w ° kuval ukwet ushon mulong chisu cha kuman mar chashik kal. Pakwez anch mwan wavadik ukat kuvuramen mar mend, mulong wov kal musangar wa mwan wavadika kal. ?	Quand une femme va mettre un enfant au monde, elle est en peine parce que le moment de souffrir est arrivé pour elle; mais quand le bébé est né, elle oublie ses souffrances tant elle a de joie qu'un être humain soit venu au monde.
Mwamu muchidia kand kudi en. Katat wovilany ushon, pakwez nikez kukumanany kand, chad michim yen yikez kwov musangar nakash, musangat wakad kutwish kukupwishanyau kudi muntu.	De même, vous êtes dans la peine, vous aussi, maintenant; mais je vous reverrai, alors votre cœur se réjouira, et votre joie, personne ne peut vous l'enlever.
“Pa dichuku dinidia kiukez kwingitanyap chom. Nakulejany chakin, Tatuku ukez kukwinkishany yom yawonsu yiukez kumwitany mu dijin diam.	«Quand viendra ce jour, vous ne m'interrogerez plus sur rien. Oui, je vous le déclare, c'est la vérité: le Père vous donnera tout ce que vous lui demanderez en mon nom.
Kushik ni katat, en kand kal witanyap chom mu dijin diam. Itany, ukez kutambulany, chakwel musangar wen ukuwanyin.	Jusqu'à maintenant, vous n'avez rien demandé en mon nom. Demandez et vous recevrez, et ainsi votre joie sera complète.»
Yesu ukat kupandakan kuyip kwa mangand	Jésus est vainqueur du monde
“Nakulejanya yom yiney mu yishimu. Pakwez chisu chikez kushik kinikez kukulejinanyap mu yishimu, chad nikez kukurumburilany yom ya Tatuku patok.	«Je vous ai dit tout cela en utilisant des paraboles. Le moment viendra où je ne vous parlerai plus ainsi, mais où je vous annoncerai clairement ce qui se rapporte au Père.
Pidikushika dichuku dinidia, en ukez kumwitany Tatuku. mu dijin diam. Kinilondilap anch, nikez kukwitilany kudi Tatuku,	Ce jour-là, vous adresserez vos demandes au Père en mon nom; et je ne vous dis pas que je le prierai pour vous,
mulong tatuku amwinend ukukatilany. Ndiy ukukatilany en mulong en winkatilany am, witiyinany kand anch, am nadiokala kudi Nzamb.	car le Père lui-même vous aime. Il vous aime parce que vous m'aimez et que vous croyez que je suis venu de Dieu.
Nadiokala kudi Tatuku, nez mu mangand. ‘Katat nadiokal kal mu mangand, naya kal kudi Tatuku.”	Je suis venu du Père et je suis arrivé dans le monde. Maintenant je quitte le monde et je retourne auprès du Père.»
Chad in kwilejend amwela anch: "Katat ey walond kal patok wakad kulondil mu yishimu.	Ses disciples lui dirent alors: «Voilà, maintenant tu parles clairement, sans utiliser de paraboles.
Katat etu twij anch, ey wij yom yawonsu. Kiuswiridinap kand muntu akwipul chom. Mulong wa chom chinech twitiy kal anch, ey wadiokala kudi Nzamb."	Maintenant nous savons que tu connais tout et que tu n'as pas besoin d'attendre qu'on t'interroge. C'est pourquoi nous croyons que tu es venu de Dieu.»
Yesu wayakula anch: "Ov, katat en witiyijany kal?	Jésus leur répondit: «Vous croyez maintenant?
Chisu chikat kwez, ni katat chidi kal kwaku, chikez kukupalangeshanyau, muntu ni muntu waya kwol kwend. Chad am nikez kushal amwinam, pakwez kinidiap kusu amwinam, mulong Tatuku udi ni yamam.	Eh bien, le moment vient, et il est déjà là, où vous serez tous dispersés, chacun retournera chez soi et vous me laisserez seul. Non, je ne suis pas vraiment seul, car le Père est avec moi.
Nakulejany kal yom yiney chakwel ukutwishany kwikal nich chisambu, mulong wikadilany kal mu umwing ni yamam. Ukez kumanany mar mu mangand, pakwez jamishany! Am napandakan kal kuyip kwa mangand!"	Je vous ai dit tout cela pour que vous ayez la paix en restant unis à moi. Vous aurez à souffrir dans le monde. Mais courage! J'ai vaincu le monde!»
Yesu ukat kuyilembidil in kwilejend	Jésus prie pour ses disciples
Chapwishay Yesu kulond yom yiney, naly watara mes mwiur, walembil anch: "Tatuku, chisu chawanyin kal. Mekesh uyaj wa Mwaney, chakwel amekesh uyaj weyey.	Après avoir ainsi parlé, Jésus leva les yeux vers le ciel et dit: «Père, l'heure est venue. Manifeste la gloire de ton Fils, afin que le Fils manifeste aussi ta gloire.
Mulong ey wamwinkisha ulabu wa kuyikel antu awonsu, chakwel apana mwom wa chikupu kudi antu awonsu iwamwinkisha.	Tu lui as donné le pouvoir sur tous les êtres humains, pour qu'il donne la vie éternelle à ceux que tu lui as confiés.
Antu akwikal nich mwom wa chikupu anch akwijik ey Nzamb wakin, ni kumwijik Yesu Kristu watuma ey.	La vie éternelle consiste à te connaître, toi le seul véritable Dieu, et à connaître Jésus-Christ, que tu as envoyé.
Am namekeshin kal uyaj wey pa mangand mulong nawanyishin kal mudimu wanginkisha kusal.	J'ai manifesté ta gloire sur la terre; j'ai achevé l'œuvre que tu m'as donné à faire.
Tatuku! Katat nginkisha uyaj kurutu kwey, wawiy kamu uyaj unadinga nich piyading ngand kand kal uyitang.	Maintenant donc, Père, accorde-moi en ta présence la gloire que j'avais auprès de toi avant que le monde existe.
“Am nakwijikishin kal kudi antu iwanginkisha. Ey wayitonda pakach pa in mangand, ading eyey, pakwez ey wanginkishau am. Awiy aziyidil kal ku mazu mey.	Je t'ai fait connaître à ceux que tu as pris dans le monde pour me les confier. Ils t'appartenaient, tu me les as confiés, et ils ont obéi à ta parole.
Katat awiy ij anch, yom yawonsu yiwanginkisha yidiokil kudi ey.	Ils savent maintenant que tout ce que tu m'as donné vient de toi,
Nayilejin kal mazu wanleja ey, niyau amatambwil. Katat awiy ij chakin anch, am nadiokala kudi ey, itiyin kand anch, yey wantuma am.	car je leur ai donné les paroles que tu m'as données, et ils les ont accueillies. Ils ont reconnu que je suis vraiment venu de toi et ils ont cru que tu m'as envoyé.
“Nikat kuyilembidil awiy. Kinikat kuyilembidilap in mangand, pakwez nikat kuyilembidil antu iwanginkisha ey, mulong awiy adi eyey.	«Je te prie pour eux. Je ne prie pas pour le monde, mais pour ceux que tu m'as confiés, car ils t'appartiennent.
Antu awonsu inikweta am adi eyey, ni antu awonsu iukweta ey adi amam. Awiy akat kumekesh uyaj wam wakin.	Tout ce que j'ai est à toi et tout ce que tu as est à moi; et ma gloire se manifeste en eux.
Katat nikat kwez kudi ey. Kinikwikalap kand mu mangand, pakwez awiy adi mu mangand. Tatuku Utumbila! Yichidija nich ukash wa dijin diey, diawiy dijin diwanginkisha, chakwel awiy akwikal mu umwing mudi mutudia etu mu umwing.	Je ne suis plus dans le monde, mais eux sont dans le monde; moi je vais à toi. Père saint, garde-les par ton divin pouvoir, celui que tu m'as accordé, afin qu'ils soient un comme toi et moi nous sommes un.
Pinadinga nau nayichidija nich ukash wa dijin diey, diawiy dijin diwanginkisha am. Nayilama, kwikil umwing wau washadika, ching kusu umwing wading ufanyidin kushadik chakwel mazu ma Mukand wa Nzamb mawanyin.	Pendant que j'étais avec eux, je les gardais par ton divin pouvoir, celui que tu m'as accordé. Je les ai protégés et aucun d'eux ne s'est perdu, à part celui qui devait se perdre, pour que l'Écriture se réalise.
Katat am nikat kwez kudi ey. Nilondil yom yiney pinichidia mu mangand, chakwel awiy akutwish kwikal nich musangar wam mu michim yau, wawiy musangar uwanyidina kamu sens.	Et maintenant je vais à toi. Je parle ainsi pendant que je suis encore dans le monde, afin qu'ils aient en eux-mêmes ma joie, une joie complète.
Nayileja mazu mey, chad in mangand ayikisin kal, mulong awiy kadiap mu umwing nau in mangand, mudi kand niyam kinidiap mu umwing nau in mangand.	Je leur ai donné ta parole, et le monde les a haïs parce qu'ils n'appartiennent pas au monde, comme moi je n'appartiens pas au monde.
Am kinikulembidilap ey kuyidiosh mu mangand, nikulembidil uyichidij kudi Sakudimban, ndiy kamu Muyimp.	Je ne te prie pas de les retirer du monde, mais de les garder du Mauvais.
Am kinidiap mu umwing nau in mangand, chawiy chimwing, niyau kadiap mu umwing nau in mangand.	Ils n'appartiennent pas au monde, comme moi je n'appartiens pas au monde.
Ku uyakin wey, yikadisha antwey. Dizu diey diawiy uyakin.	Fais qu'ils soient entièrement à toi, par le moyen de la vérité; ta parole est la vérité.
Mudi chiwantuma ey kudi in mangand, chawiy niyam nayitum kal awiy kudi in mangand.	Je les ai envoyés dans le monde comme tu m'as envoyé dans le monde.
Am nipan kal amwinam kukusadil ey mulong wa awiy, chakwel niyau akutwish kwipan ayinau kukusadil ey.	Je m'offre entièrement à toi pour eux, afin qu'eux aussi soient vraiment à toi.
“Kinilembidilap kusu mulong wa awiy ayinau, pakwez nilembidil kand antu akwau akeza kwingitiyija am mulong wa mazu mau.	«Je ne prie pas seulement pour eux, mais aussi pour ceux qui croiront en moi grâce à leur message.
Niyilembidil chakwel awonsu ikal mu umwing. A! Tatuku! Chifanyidin ikal mu umwing ni yetwetu, mudi muudia ey mu umwing ni yamam, niyam mu umwing ni yeyey. Nilembidil awiy ikal mu umwing, chakwel in mangand akwitiy anch, yey wantuma am.	Je prie pour que tous soient un. Père, qu'ils soient unis à nous, comme toi tu es uni à moi et moi à toi. Qu'ils soient un pour que le monde croie que tu m'as envoyé.
Nayinkishin kal uyaj, wawiy kamu uyaj wanginkisha, chakwel awiy akwikal mu umwing mudi mutudia etu mu umwing.	Je leur ai donné la gloire que tu m'as donnée, pour qu'ils soient un comme toi et moi nous sommes un.
Am nidi mu umwing ere nau awiy, niyey udi mu umwing ni yamam, chakwel awiy akutwish kwibomb mu umwing uwanyidina kamu. Mwamu in mangand akez kwijik anch, ey uyikatil antu iwanginkisha mudi muwinkatila am.	Je vis en eux, tu vis en moi; c'est ainsi qu'ils pourront être parfaitement un, afin que le monde reconnaisse que tu m'as envoyé et que tu les aimes comme tu m'aimes.
“A! Tatuku! Ey wanginkishau awiy, chad am nisotil awiy ikala ni yamam kunikeza kwikal, chakwel akutwish kuman uyaj wam, wawiy uyaj wanginkisha am, mulong ey wankata am piyading ngand kand kal ayitanga.	Père, tu me les as donnés, et je désire qu'ils soient avec moi là où je suis, afin qu'ils voient ma gloire, la gloire que tu m'as donnée, parce que tu m'as aimé avant la création du monde.
A! Tatuku! Yey utentamina! In mangand kakwijap ey, pakwez am nikwij ey. Antu iwanginkisha ij anch, yey wantuma.	Père juste, le monde ne t'a pas connu, mais moi je t'ai connu et ceux-ci ont reconnu que tu m'as envoyé.
Am nakwijikishin kal ey kudi awiy, chad nikudandamen kusal mwamu, chakwel awiy akuyikat antu akwau mudi ey chiwinkatila am, chakwel kand am nikwikal mu umwing nau awiy.”	Je t'ai fait connaître à eux et te ferai encore connaître, afin que l'amour que tu as pour moi soit en eux et que je sois moi-même en eux.»
Akat kumukwat Yesu	L'arrestation de Jésus
Chapwishay Yesu kulembil, ndiy wadiokala kwinikwa nau in kwilejend, aya ushad wa kawit kapidilau anch, Sederon. Yesu ni in kwilejend aya mu chir chadinga kwinikwa.	Après ces mots, Jésus s'en alla avec ses disciples de l'autre côté du ruisseau du Cédron. Il y avait là un jardin dans lequel il entra avec ses disciples.
Yudas, ndiy kamu mwin kumutungun matungu, wading wij ndond yiniya, mulong Yesu wading ni kuyang kwinikwa yisu yawonsu pamwing nau in kwilejend.	Judas, celui qui le trahissait, connaissait aussi l'endroit, parce que Jésus et ses disciples y étaient souvent venus ensemble.
Chawiy Yudas wayisenda amasalay au in Rom, ni atulam a Chikumbu cha Nzamb atumau kudi in kupesh ajim ni Afaris. Ading asendil yom ya njit, ni mend ya kasu, ni jinsak ja kasu, aya, amulondul Yesu mu chir.	Judas se rendit donc au jardin, emmenant avec lui une troupe de soldats et des gardes fournis par les chefs des prêtres et le parti des Pharisiens; ils étaient armés et portaient des lanternes et des flambeaux.
Yesu wading wij yom yawonsu yikumushikena, chad ndiy waseja piswimp, wayipul anch: “Ov, umukimbilany nany?”	Alors Jésus, qui savait tout ce qui devait lui arriver, s'avança vers eux et leur demanda: «Qui cherchez-vous?»
Awiy amwakula anch “Tumukimbil Yesu wa ku Nazaret.” Yesu wakula anch: “Yam unou.” Yudas, ndiy kamu wamutunguna matungu, wading wiminy nau pamwing.	Ils lui répondirent: «Jésus de Nazareth.» Jésus leur dit: «C'est moi.» Et Judas, celui qui le leur livrait, se tenait là avec eux.
Chayakulay Yesu anch: “Yam unou,” awiy achirika chinshikanyim, awa pansh.	Lorsque Jésus leur dit: «C'est moi», ils reculèrent et tombèrent à terre.
Yesu wayipula kand anch; “Ov, umukimbilany nany?” Awiy amwakula anch: “Tumukimbil Yesu wa ku Nazaret.”	Jésus leur demanda de nouveau: «Qui cherchez-vous?» Ils dirent: «Jésus de Nazareth.»
Yesu wayakula anch: “Oku nakulejangany kal anch: ‘Yam unou.’ Chawiy am yam ukimbilanya, yilikany antu akwau ay aya kwau.”	Jésus leur répondit: «Je vous l'ai déjà dit, c'est moi. Si donc c'est moi que vous cherchez, laissez partir les autres.»
Yesu walonda mwamu chakwel mazu malonday mawanyina anch: “Tatuku, kinashadishap muntu ap kusu umwing wa antu iwanginkisha.”	C'est ainsi que devait se réaliser la parole qu'il avait dite: «Je n'ai perdu aucun de ceux que toi, Père, tu m'as confiés.»
Simon Pita wading ukwet mpak ya musamun, wayipurila, wakatul ditu dia chikas cha katatuku dia muswik wa mwin kupesh mujim. Muswik winou, dijin diend wading Malikus.	Simon Pierre avait une épée; il la tira, frappa le serviteur du grand-prêtre et lui coupa l'oreille droite. Ce serviteur s'appelait Malchus.
Pakwez Yesu wamwela Pita anch: "Chirish mpak yey mu chilal! Ov, utongil anch kinikunap rupas ra kuman mar minikumana ranginkishay Tatuku?"	Mais Jésus dit à Pierre: «Remets ton épée dans son fourreau. Penses-tu que je ne boirai pas la coupe de douleur que le Père m'a donnée?»
Akat kumutwal Yesu kwa Anas	Jésus est amené devant Hanne
Chad amasalay au in Rom ni mukurump wau, pamwing ni atulam a Chikumbu cha Nzamb, amukwata Yesu, amukas.	La troupe de soldats avec leur commandant et les gardes des autorités juives se saisirent alors de Jésus et le ligotèrent.
Pakusambish amutwala kwa Anas, ndiy kamu wading ukweta mwanend watau kudi Kaifas. Kaifas ndiy wading mwin kupesh mujim mu muvu winiwa.	Ils le conduisirent tout d'abord chez Hanne. Celui-ci était le beau-père de Caïphe qui était grand-prêtre cette année-là.
Ndiy kand wayiyula amakurump au in Yuda anch: “Chidi chiwamp muntu umwing kuyifil antu awonsu.”	Or, c'est Caïphe qui avait donné ce conseil aux autorités juives: «Il est de votre intérêt qu'un seul homme meure pour tout le peuple.»
Pita ukat kumutun Yesu	Pierre nie être disciple de Jésus
Simon Pita ni mwin kwilej mukwau amulondula Yesu. Mwin kwilej mukwau winiwa ading amwij kudi mwin kupesh  mujim, wawiy mutapu wandamay ndiy pamwing nend Yesu mu chipang cha chikumbu cha mwin kupesh mujim.	Simon Pierre et un autre disciple suivaient Jésus. Cet autre disciple était connu du grand-prêtre, si bien qu'il entra en même temps que Jésus dans la cour intérieure de la maison du grand-prêtre.
Pakwez Pita washala pol ku chis cha chipang. Chad mwin kwilej mukwau winiwa wabudika pol, wamulej mwilomb wading ulamina ku chis chakwel amwandjik Pita.	Mais Pierre resta dehors, près de la porte. Alors l'autre disciple, celui qui était connu du grand-prêtre, sortit et parla à la femme qui gardait la porte, puis il fit entrer Pierre.
Mwilomb wadinga ku chis wamwipula Pita anch: “Ov, niyey kiudiap mwin kwilej wa muntu mwinou?” Pita wakula anch: “Bwat, am kinidiap kwam mwin kwilej wend.”	La servante qui gardait la porte dit à Pierre: «N'es-tu pas, toi aussi, un des disciples de cet homme-là?» «Non, je n'en suis pas», répondit-il.
Atushalapol ni atulam apepa kasu ka makal mulong kwadinga mashik nakash. Awiy ading iminy, akat kwot kasu.	Il faisait froid; c'est pourquoi les serviteurs et les gardes avaient allumé un feu autour duquel ils se tenaient pour se réchauffer. Pierre aussi se tenait avec eux et se réchauffait.
Mwin kupesh mujim ukat kumwipul Yesu	Le grand-prêtre interroge Jésus
Chawiy mwin kupesh mujim wamwipula Yesu mulong wa in kwilejend ni mulong wa malejan mend.	Le grand-prêtre interrogea alors Jésus sur ses disciples et sur l'enseignement qu'il donnait.
Yesu wamwakula anch: “Nading ni kulond patok kudi antu. Nading ni kulejan machuku mawonsu mu yikumbu ya kulembil, ni mu Chikumbu cha Nzamb mwadingau ni kukumangen antu awonsu. Kwikil chom ap chimwing chinalondila mu ujindj.	Jésus lui répondit: «J'ai parlé ouvertement à tout le monde; j'ai toujours enseigné dans les synagogues et dans le temple, où se rassemblent tous les Juifs; je n'ai rien dit en cachette.
Ing, mulong wak wingipwila? lyipula antu adinga ni kutesh yom yinalondanga. Awiy ij nawamp yom yinalondanga.”	Pourquoi m'interroges-tu? Demande à ceux qui m'ont entendu ce que je leur ai dit: ils savent bien, eux, de quoi je leur ai parlé.»
Chalonday Yesu mwamu, kalam umwing wadinga piswimp nend wamubul disu, wamwel anch: “Ov, wawiy winou mutapu ufanyidina kumwakul mwin kupesh mujim?”	A ces mots, un des gardes qui se trouvaient là donna une gifle à Jésus en disant: «Est-ce ainsi que tu réponds au grand-prêtre?»
Yesu wamwakula anch: “Anch nalondang nayimp, lejan kamu patok yom yinalonda kal. Pakwez anch yom yinalondang yidi yakin, ing mulong wak wambula kal?”	Jésus lui répondit: «Si j'ai dit quelque chose de mal, montre-nous en quoi; mais si ce que j'ai dit est juste, pourquoi me frappes-tu?»
Chawiy Anas wamutwala wa kukas kwa Kaifas mwin kupesh mujim.	Hanne l'envoya alors, toujours ligoté, à Caïphe le grand-prêtre.
Pita ukat kumutun kand Yesu	Pierre renie de nouveau Jésus
Pita wachading kwinikwa ni kwot kasu. Chawiy antu akwau amwipula anch: “Ov, niyey kiudiap mwin kwilej wa muntu mwinou?” Pakwez Pita watuna anch: “Bwat, am kinidiap mwin kwilej wend.”	Pendant ce temps, Simon Pierre, lui, restait là à se réchauffer. On lui demanda: «N'es-tu pas, toi aussi, un des disciples de cet homme?» Mais Pierre le nia en disant: «Non, je n'en suis pas.»
Mwin kupesh mujim wading ukwet muswik mukwau ukweta mwanamakwend wakatulau ditu kudi Pita. Muswik mwinou wamwipula Pita anch: “Ov, kinakumanangap ey nend muntu mwinou mu chir?”	L'un des serviteurs du grand-prêtre, qui était parent de l'homme à qui Pierre avait coupé l'oreille, lui dit: «Est-ce que je ne t'ai pas vu avec lui dans le jardin?»
Pita watuna kand anch: “Bwat, kimwawiyap.” Pawiy kamu pinipa chikalambol watenda.	Mais Pierre le nia de nouveau. Et à ce moment même un coq chanta.
Akat kumutwal Yesu kwa Pilat	Jésus devant Pilate
Pamanch pafe, amudiosha Yesu ku chikumbu cha Kaifas, amutwal ku chikumbu cha nyikel. Amakurump au in Yuda kandamap mu chikumbu mulong asota kwilam ishitwila mudi mudia yijil yau, chakwel akutwish kudia musambu wa Kusut kwa Chinawej.	Puis on emmena Jésus de chez Caïphe au palais du gouverneur romain. C'était tôt le matin. Mais les chefs juifs n'entrèrent pas dans le palais afin de ne pas se rendre impurs et de pouvoir manger le repas de la Pâque.
Chawiy nyikel Pilat wabudika, waya kudi awiy, wayipul anch: “Ov, mulong ik wamufundilangau muntu mwinou?”	C'est pourquoi le gouverneur Pilate vint les trouver au dehors. Il leur demanda: «De quoi accusez-vous cet homme?»
Awiy amwakula anch: “Anch muntu mwinou kasadilap chom chiyimp, ing kitwamuletangap kwetu kudi ey.”	Ils lui répondirent: «Si ce n'était pas un malfaiteur, nous ne serions pas venus te le livrer.»
